Customer_ID,First_Name,Last_Name,Date_of_Birth,Age,Gender,Email,Phone_Number,Street_Address,Postal_Code,City,Country,Account_Number,Card_Network,Card_Number,Card_Expiry,Account_Type,Registration_Date,Marital_Status,Education_Level,Employment_Status,Job_Type,Employment_Length,Annual_Income,Monthly_Income,Residential_Status,Number_of_Dependents,Account_Age_Months,Savings_Balance,total_tx_amount,avg_tx_amount,tx_count,fraud_count,intl_count,cross_border,high_amount_count,aml_count,Risk_Score,Degree_Centrality,Closeness_Centrality,Betweenness_Centrality,PageRank
CUST_00001,Zulfiye,Can,2007-08-27,18,Female,zulfiye_can@yahoo.com,(770)560-6538x8583,168 Anthony Groves Suite 834,79092,Antalya,Turkey,TR5239887210117454,Discover,6011********5173,08/25,Personal,2024-10-30,Single,High School,Student,Student,0,1966.86,163.9,Rent,1,8,1976.63,101.46000000000001,33.82,3.0,0.0,0.0,3.0,0.0,0.0,15.99,0.000106,0.051719,1.5e-05,1.904e-05
CUST_00002,Olivia,Lim,1976-11-22,49,Female,olivia.lim769@protonmail.com,(01632) 960265,5 Bradley Valleys,BS4 4DT,Singapore,Singapore,SG4917906726565826,Mastercard,5348********4477,05/29,Personal,2022-04-02,Widowed,High School,Employed,Government,4,36264.76,3022.06,Owner,3,39,71899.41,10301.17,936.47,11.0,0.0,1.0,7.0,1.0,0.0,35.76,0.000146,0.0,0.0,8.08e-06
CUST_00003,Makoto,Ito,2002-07-26,23,Male,makoto.ito@gmail.com,2516034074,877 Vanessa Gardens Apt. 995,65616,Kobe,Japan,JP9043945006587355,Amex,3720*******3114,10/26,Joint,2022-10-01,Single,Master,Employed,Healthcare,5,44652.64,3721.05,Rent,0,33,66776.59,36294.85,4032.761111111111,9.0,0.0,0.0,6.0,0.0,0.0,26.63,0.00016,0.050414,6.2e-05,1.605e-05
CUST_00004,Jose,Almeida,1984-10-19,41,Male,josealmeida@protonmail.com,+55 71 2945-7719,"Rua Vargas, 672",41917625,Sao Paulo,Brazil,BR3534126971514774,Visa,4389********9751,08/26,Trust,2023-12-31,Single,Bachelor,Employed,Manufacturing,2,19625.48,1635.46,Rent,0,18,33481.6,3161.34,790.335,4.0,0.0,0.0,2.0,0.0,0.0,9.66,0.000133,0.051686,1e-05,3.161e-05
CUST_00005,Shweta,Agarwal,1982-08-25,43,Female,shwetaagarwal@protonmail.com,+910451353159,"H.No. 630
Sankaran Nagar",482639,Kolkata,India,IN0944997437816513,Mastercard,5420********7233,10/25,Personal,2023-01-31,Married,High School,Employed,IT/Tech,4,10146.07,845.51,Owner,2,29,8296.48,1148.22,164.03142857142856,7.0,0.0,1.0,3.0,0.0,0.0,16.77,0.000133,0.047403,0.00013,2.052e-05
CUST_00006,Amelie,Henry,1983-11-25,42,Female,ameliehenry@gmail.com,0561742096,"785, chemin de Leclercq",89460,Nantes,France,FR7192309968228111,Visa,4400********0513,05/27,Personal,2022-09-01,Single,Master,Employed,Other,5,60121.52,5010.13,Owner,1,34,108844.18,11533.630000000001,1922.2716666666668,6.0,0.0,1.0,4.0,0.0,0.0,20.14,0.00012,0.049574,0.000227,2.406e-05
CUST_00007,Pradeep,Pandey,1992-08-01,33,Male,pradeeppandey@yahoo.com,+915735693826,"59/813
Chadha Chowk",070036,Kolkata,India,IN8939744467491567,Discover,6011********0531,12/28,Personal,2021-11-01,Single,Master,Employed,Legal,0,15559.45,1296.62,Rent,1,44,24403.63,8608.4,614.8857142857142,14.0,0.0,2.0,6.0,1.0,0.0,30.64,0.00024,0.049341,7.8e-05,2.577e-05
CUST_00008,Abimbola,Dada,1980-09-25,45,Female,abimboladada566@yahoo.com,+44(0)1632960610,"Flat 48I
Lorraine Pines",SE6R 8EU,Ibadan,Nigeria,NG0782690705517603,Visa,4593********9061,08/29,Personal,2023-09-01,Married,High School,Employed,Retail,0,3243.48,270.29,Rent,4,22,6650.48,797.19,72.4718181818182,11.0,0.0,1.0,6.0,0.0,0.0,26.32,0.000186,0.048011,7.8e-05,1.499e-05
CUST_00009,Sandile,Hlongwane,2003-12-08,22,Male,sandile.hlongwane763@protonmail.com,01514960786,18 Kevin Route,RM1 1HZ,Pretoria,South Africa,ZA4019751433404862,Visa,4154********2212,02/29,Personal,2022-06-02,Single,Bachelor,Employed,Retail,4,12528.99,1044.08,Family,0,37,15055.87,3125.83,208.38866666666667,15.0,0.0,2.0,4.0,0.0,0.0,19.79,0.000266,0.052206,0.001369,4.509e-05
CUST_00010,Haslina,Krishnan,1977-09-10,48,Female,haslina_krishnan507@gmail.com,+44(0)1614960213,"Flat 5
Hunt Mountains",WD0A 3JD,Kuala Lumpur,Malaysia,MY9337948604357782,Mastercard,5242********0134,12/25,Business,2023-12-01,Married,High School,Employed,Government,3,12581.41,1048.45,Family,2,19,18311.89,5316.299999999999,1063.2599999999998,5.0,1.0,3.0,4.0,0.0,1.0,60.43,0.000106,0.0512,2.9e-05,1.88e-05
